order_id,transaction_id,User_ID,Product_ID,quantity,Final_Price(Rs.),net_revenue,date_id,Payment_Method,payment_id,shipping_cost,order_status,order_total,Price (Rs.),Discount_Percent
1039,5039,317bca3f,26c3c2aa-e,1,162.55,162.55,58,UPI,1,19.3,Delivered,888.74,203.19,20.0
1040,5040,5e956744,84478b2a-7,3,393.29,1179.87,59,Debit Card,2,15.54,Delivered,1179.87,462.7,15.0
1041,5041,eb72f968,85842870-7,1,52.18,52.18,60,Cash on Delivery,5,5.63,Delivered,723.3,74.55,30.01
1041,5041,4ec1bc01,93d9b420-b,2,104.11,208.22,61,Debit Card,2,5.63,Delivered,723.3,208.23,50.0
1041,5041,7f9c9f2c,64049319-8,1,171.06,171.06,62,Debit Card,2,5.63,Delivered,723.3,180.06,5.0
1041,5041,d72ba85d,d14ce47a-e,1,291.84,291.84,63,Net Banking,3,5.63,Delivered,723.3,389.12,25.0
1042,5042,f33c5a33,4116b831-2,1,119.9,119.9,64,Debit Card,2,18.6,Cancelled,119.9,171.28,30.0
1043,5043,c9939103,7ae18ecd-b,1,49.98,49.98,65,UPI,1,12.27,Delivered,767.5999999999999,62.48,20.01
1043,5043,03632dc7,3c9a3ef2-d,1,299.53,299.53,66,Debit Card,2,12.27,Delivered,767.5999999999999,374.41,20.0
1043,5043,014b0b14,411d96de-8,1,418.09,418.09,49,Cash on Delivery,5,12.27,Delivered,767.5999999999999,464.54,10.0
1044,5044,e47fbc15,176b24ce-d,1,83.16,83.16,54,Net Banking,3,11.9,Delivered,83.16,83.16,0.0
1045,5045,86289c63,c0c0bc6d-5,1,287.78,287.78,67,UPI,1,13.5,Delivered,287.78,302.93,5.0
1046,5046,f95064b0,49f5da4e-a,1,285.29,285.29,25,Credit Card,4,7.24,Delivered,564.39,356.61,20.0
1046,5046,b9168cc4,19f3b34c-3,1,90.53,90.53,68,Net Banking,3,7.24,Delivered,564.39,95.3,5.01
1046,5046,f444bdd4,1a2c6fc4-3,1,188.57,188.57,69,Net Banking,3,7.24,Delivered,564.39,235.71,20.0
1047,5047,152a3010,bc8f50c4-2,2,202.46,404.92,70,Debit Card,2,12.04,Delivered,404.92,404.92,50.0
1048,5048,2498a9ec,ee5461f9-5,1,54.95,54.95,71,Credit Card,4,17.47,Delivered,139.36,109.89,50.0
1048,5048,78674cde,7db532eb-7,1,84.41,84.41,72,Cash on Delivery,5,17.47,Delivered,139.36,112.55,25.0
1049,5049,599dbf81,ab7ff487-1,2,295.41,590.82,73,Debit Card,2,5.23,Delivered,590.82,422.02,30.0
1050,5050,d5fba1fa,54768b80-4,1,312.27,312.27,1,Debit Card,2,9.09,Delivered,312.27,367.38,15.0
1051,5051,d1dd56ce,f474b729-5,1,164.14,164.14,9,Debit Card,2,5.04,Delivered,164.14,172.78,5.0
1052,5052,d4c421dd,c3fe6a0a-3,1,233.86,233.86,74,Credit Card,4,11.24,Delivered,739.21,246.17,5.0
1052,5052,31ee86d0,dea0d8ef-d,3,168.45,505.35,75,Credit Card,4,11.24,Delivered,739.21,210.56,20.0
1053,5053,f42d759a,18cc36c2-2,1,165.26,165.26,76,Cash on Delivery,5,15.92,Delivered,165.26,330.53,50.0
1054,5054,2f2e35cd,bd32ad96-9,2,353.56,707.12,77,Cash on Delivery,5,16.98,Cancelled,1289.74,471.41,25.0
1054,5054,0e7ece51,63f3bf90-9,2,291.31,582.62,5,Cash on Delivery,5,16.98,Cancelled,1289.74,388.41,25.0
1055,5055,2d6ba8ae,9150cb0b-4,1,24.09,24.09,29,Cash on Delivery,5,19.18,Delivered,24.09,48.18,50.0
1056,5056,f198455a,d0d702ad-8,2,245.58,491.16,78,Credit Card,4,14.13,Delivered,491.16,306.97,20.0
1057,5057,bd3518f0,73bd1e59-9,1,63.01,63.01,79,UPI,1,8.82,Delivered,459.94,90.01,30.0
1057,5057,45ae61a8,d474e7e9-2,1,182.69,182.69,80,UPI,1,8.82,Delivered,459.94,365.38,50.0
1057,5057,73aef733,89c2cf5c-5,1,214.24,214.24,81,UPI,1,8.82,Delivered,459.94,214.24,0.0
1058,5058,dc5e478b,4da1fb5d-d,2,112.77,225.54,82,Cash on Delivery,5,18.86,Delivered,225.54,132.67,15.0
1059,5059,557f87a5,ceab308d-f,1,182.93,182.93,83,Credit Card,4,16.63,Delivered,182.93,261.33,30.0
1060,5060,82abf471,ac551181-6,1,332.35,332.35,84,UPI,1,13.62,Delivered,332.35,474.78,30.0
1061,5061,ff119d8e,db03816d-5,2,123.42,246.84,50,Debit Card,2,15.43,Delivered,642.16,145.2,15.0
1061,5061,4d1a715f,21f8295d-0,2,197.66,395.32,85,Debit Card,2,15.43,Delivered,642.16,395.32,50.0
1062,5062,fb1b3d3f,df1e3f0d-5,4,88.42,353.68,86,Credit Card,4,18.86,Delivered,549.8,110.52,20.0
1062,5062,6142fb57,3abe5b39-e,1,196.12,196.12,87,Credit Card,4,18.86,Delivered,549.8,217.91,10.0
1063,5063,104cbed3,7ce62017-e,1,472.29,472.29,88,Debit Card,2,15.69,Delivered,472.29,472.29,0.0
1064,5064,0bfdb241,a845a942-7,1,139.35,139.35,89,Net Banking,3,10.53,Delivered,139.35,278.71,50.0
1065,5065,7c5e50fe,bb6469a8-e,2,248.17,496.34,90,Debit Card,2,15.7,Delivered,496.34,291.97,15.0
1066,5066,b2ab489e,137695d9-6,1,203.72,203.72,91,UPI,1,5.6,Delivered,203.72,239.67,15.0
1067,5067,458c8213,c40efcc0-2,3,83.63,250.89,92,Credit Card,4,10.8,Delivered,250.89,92.92,10.0
1068,5068,6579b70c,4b2386b5-4,1,66.8,66.8,93,Credit Card,4,11.09,Delivered,1156.13,83.5,20.0
1068,5068,781b02f1,c4f93075-e,3,363.11,1089.33,94,Net Banking,3,11.09,Delivered,1156.13,484.14,25.0
1069,5069,8199bac3,ff781f26-c,2,259.1,518.2,75,Debit Card,2,7.5,Delivered,518.2,370.14,30.0
1070,5070,021adfb6,1695a728-0,3,303.33,909.99,81,Credit Card,4,5.35,Delivered,909.99,319.29,5.0
1071,5071,a669be47,a700768e-1,1,399.44,399.44,95,Cash on Delivery,5,7.0,Delivered,399.44,420.46,5.0
1072,5072,16589213,004ae9eb-0,1,61.27,61.27,96,Net Banking,3,14.82,Delivered,61.27,68.08,10.0
1073,5073,ebded5a7,7f4e3932-a,1,221.04,221.04,3,Credit Card,4,17.03,Delivered,221.04,442.08,50.0
1074,5074,18571441,7438ea1f-c,1,268.14,268.14,65,Debit Card,2,19.82,Delivered,761.68,268.14,0.0
1074,5074,2a641c9d,ae8d3eae-6,1,320.7,320.7,97,UPI,1,19.82,Delivered,761.68,337.58,5.0
1074,5074,efd66d9f,10f9fb68-2,2,86.42,172.84,98,UPI,1,19.82,Delivered,761.68,115.23,25.0
1075,5075,744e3383,7dd40ade-e,1,209.13,209.13,99,Debit Card,2,10.2,Delivered,209.13,246.03,15.0
1076,5076,5a96e989,3e65294c-d,3,338.75,1016.25,100,Credit Card,4,13.99,Delivered,1016.25,376.39,10.0
1077,5077,0b18eb06,e71ea629-6,1,161.14,161.14,58,Credit Card,4,19.06,Delivered,333.28999999999996,214.85,25.0
1077,5077,7c55fcf1,003d1f09-c,1,172.15,172.15,101,UPI,1,19.06,Delivered,333.28999999999996,181.21,5.0
1078,5078,25f8c79a,cc29b70c-9,1,428.28,428.28,102,Credit Card,4,7.51,Delivered,428.28,450.82,5.0
1079,5079,b17a50cf,76d6e659-f,2,126.51,253.02,103,Cash on Delivery,5,15.76,Delivered,698.85,168.68,25.0
1079,5079,3d834a66,97e677cb-6,1,445.83,445.83,104,Cash on Delivery,5,15.76,Delivered,698.85,469.29,5.0
1080,5080,f6460f4c,43f85fc8-5,3,41.58,124.74,105,Credit Card,4,16.32,Delivered,457.31,51.97,19.99
1080,5080,5984c518,cc75f240-f,1,332.57,332.57,106,Net Banking,3,16.32,Delivered,457.31,332.57,0.0
1081,5081,77e477c0,83c49cc6-0,3,118.69,356.07,32,UPI,1,6.33,Delivered,356.07,118.69,0.0
1082,5082,1b10748b,916e62e8-4,1,10.6,10.6,107,UPI,1,17.92,Delivered,33.91,11.16,5.02
1082,5082,15375b7a,8679b68a-2,1,23.31,23.31,108,Net Banking,3,17.92,Delivered,33.91,25.9,10.0
1083,5083,ee2735fb,4a86d1fb-3,2,365.37,730.74,109,UPI,1,17.2,Cancelled,774.88,384.6,5.0
1083,5083,6184077e,081c5408-8,2,22.07,44.14,110,Cash on Delivery,5,17.2,Cancelled,774.88,44.14,50.0
1084,5084,c427ea12,58fedada-b,1,66.74,66.74,111,Credit Card,4,5.5,Returned,66.74,83.42,20.0
1085,5085,9db42c1b,d8d5bbee-a,3,154.28,462.84,112,Debit Card,2,6.37,Returned,646.46,181.51,15.0
1085,5085,acf7144e,8da332da-a,1,183.62,183.62,51,Debit Card,2,6.37,Returned,646.46,229.52,20.0
1086,5086,3c3c8f20,567355fa-3,2,246.62,493.24,85,Debit Card,2,5.74,Delivered,1351.82,246.62,0.0
1086,5086,041ccaac,397a849e-9,1,457.3,457.3,113,Net Banking,3,5.74,Delivered,1351.82,457.3,0.0
1086,5086,df3c4407,3cba2745-2,1,294.63,294.63,114,Net Banking,3,5.74,Delivered,1351.82,392.84,25.0
1086,5086,4be691f6,758e3cf5-d,1,106.65,106.65,115,Cash on Delivery,5,5.74,Delivered,1351.82,125.47,15.0
1087,5087,e03f2fdc,39dbd736-8,3,18.66,55.98,116,UPI,1,10.02,Delivered,55.98,18.66,0.0
1088,5088,20eef2f5,e695e227-e,4,129.53,518.12,88,Credit Card,4,12.64,Delivered,518.12,172.71,25.0
1089,5089,81c869a4,39394899-d,1,421.38,421.38,2,Credit Card,4,12.99,Delivered,421.38,468.2,10.0
1090,5090,67cc6644,4f214f6b-a,3,269.42,808.26,117,Debit Card,2,9.02,Delivered,875.58,359.22,25.0
1090,5090,34e04e99,39c7b618-6,1,41.06,41.06,16,Credit Card,4,9.02,Delivered,875.58,51.33,20.01
1090,5090,88159234,eeb0635d-a,2,13.13,26.26,118,Credit Card,4,9.02,Delivered,875.58,26.26,50.0
1091,5091,8837d8da,6d0321c6-b,1,239.16,239.16,119,Cash on Delivery,5,18.67,Delivered,239.16,265.73,10.0
1092,5092,c6781108,f048a4a2-5,1,195.53,195.53,120,Credit Card,4,10.52,Returned,726.3299999999999,205.82,5.0
1092,5092,aa5ed28b,16f47d8b-3,1,286.45,286.45,121,Cash on Delivery,5,10.52,Returned,726.3299999999999,301.53,5.0
1092,5092,3043e68e,cfe90194-b,1,244.35,244.35,21,UPI,1,10.52,Returned,726.3299999999999,257.21,5.0
1093,5093,63b7cb47,d12bfdfa-c,1,295.24,295.24,122,Cash on Delivery,5,5.68,Delivered,295.24,310.78,5.0
1094,5094,3e3b26e1,9ffd92ed-4,2,449.69,899.38,123,Debit Card,2,9.5,Delivered,1726.23,499.65,10.0
1094,5094,b53aa320,a49efe9f-9,1,418.1,418.1,124,Debit Card,2,9.5,Delivered,1726.23,440.11,5.0
1094,5094,48655454,cd65d18d-a,3,136.25,408.75,125,Net Banking,3,9.5,Delivered,1726.23,170.31,20.0
1095,5095,1a29d6ef,a604afd7-c,2,112.08,224.16,53,Cash on Delivery,5,12.97,Delivered,317.33,160.11,30.0
1095,5095,34f377cd,ae12cb5e-b,1,93.17,93.17,126,Cash on Delivery,5,12.97,Delivered,317.33,93.17,0.0
1096,5096,be409e17,e504b46b-a,1,39.67,39.67,127,Credit Card,4,11.12,Delivered,39.67,56.67,30.0
1097,5097,5f0bbdfb,df20c732-7,2,157.28,314.56,47,Net Banking,3,9.11,Delivered,472.72,224.68,30.0
1097,5097,4658f0ae,499bf772-5,3,52.72,158.16,128,Net Banking,3,9.11,Delivered,472.72,70.29,25.0
1098,5098,dff5463c,8168dbcc-a,4,393.91,1575.64,129,Cash on Delivery,5,6.97,Delivered,2703.4300000000003,437.68,10.0
1098,5098,c2a32605,d4f8bb14-c,2,412.94,825.88,51,Cash on Delivery,5,6.97,Delivered,2703.4300000000003,434.67,5.0
1098,5098,709f2edd,1af0660f-c,1,301.91,301.91,130,Cash on Delivery,5,6.97,Delivered,2703.4300000000003,301.91,0.0
1099,5099,1672d24e,b121d823-9,2,379.89,759.78,131,Cash on Delivery,5,17.29,Delivered,759.78,399.88,5.0
1100,5100,a7e884cf,50e481c0-5,1,104.52,104.52,102,Cash on Delivery,5,19.94,Delivered,104.52,122.96,15.0
1101,5101,d5762773,b06f4427-0,1,39.08,39.08,132,Debit Card,2,9.94,Cancelled,39.08,39.08,0.0
1102,5102,82db2175,30571c6b-a,2,222.06,444.12,133,UPI,1,10.72,Delivered,444.12,317.23,30.0
1103,5103,41675c87,fa938c93-7,3,450.24,1350.72,134,Credit Card,4,14.27,Delivered,2238.36,450.24,0.0
1103,5103,a1268df3,7df8467d-8,4,221.91,887.64,135,UPI,1,14.27,Delivered,2238.36,277.39,20.0
1104,5104,d6ee8e2b,bdd98eb8-b,1,100.29,100.29,136,Debit Card,2,15.78,Delivered,1545.99,133.72,25.0
1104,5104,957ba512,d2d8de8e-9,2,316.58,633.16,55,Cash on Delivery,5,15.78,Delivered,1545.99,395.72,20.0
1104,5104,328d03d8,20c99ee6-7,3,260.12,780.36,121,Credit Card,4,15.78,Delivered,1545.99,260.12,0.0
1104,5104,deb7df38,610b6881-1,2,16.09,32.18,49,Cash on Delivery,5,15.78,Delivered,1545.99,32.18,50.0
1105,5105,1bcc7d66,0f9b23d4-b,1,37.45,37.45,44,Cash on Delivery,5,10.88,Cancelled,37.45,46.81,20.0
1106,5106,e3c4830d,d0b8fdbd-c,2,220.15,440.3,137,Net Banking,3,18.57,Delivered,440.3,244.61,10.0
1107,5107,ad920469,5ee2c43a-4,1,384.55,384.55,112,Cash on Delivery,5,13.4,Delivered,916.75,404.79,5.0
1107,5107,088e7c77,a599e26a-7,2,266.1,532.2,120,UPI,1,13.4,Delivered,916.75,332.62,20.0
1108,5108,bbcfa0fc,fbe0711d-8,2,318.52,637.04,138,Cash on Delivery,5,11.76,Delivered,637.04,374.73,15.0
1109,5109,a31224b8,ce07178a-6,2,76.31,152.62,139,Credit Card,4,14.7,Cancelled,152.62,152.62,50.0
1110,5110,77df82ca,250519ce-c,1,243.94,243.94,110,Cash on Delivery,5,19.29,Delivered,499.4,271.04,10.0
1110,5110,be546b16,02e20c5f-d,1,20.82,20.82,140,UPI,1,19.29,Delivered,499.4,24.5,15.02
1110,5110,22d18844,2f19e634-2,1,234.64,234.64,5,Net Banking,3,19.29,Delivered,499.4,312.85,25.0
1111,5111,a3636616,9f50736e-b,1,428.77,428.77,141,Net Banking,3,16.92,Delivered,1666.21,476.41,10.0
1111,5111,18ceee25,2883c4ac-f,4,309.36,1237.44,142,UPI,1,16.92,Delivered,1666.21,386.7,20.0
1112,5112,73d0692f,52a56ac7-c,1,22.7,22.7,143,Net Banking,3,5.6,Delivered,22.7,45.39,49.99
1113,5113,8e00f191,d767d45d-a,1,110.06,110.06,57,Credit Card,4,9.98,Delivered,110.06,129.48,15.0
1114,5114,860101ea,68867ed9-3,3,367.07,1101.21,144,Net Banking,3,12.06,Delivered,1194.57,431.85,15.0
1114,5114,d32ae048,8144b8b1-3,1,93.36,93.36,145,Credit Card,4,12.06,Delivered,1194.57,186.72,50.0
1115,5115,1c4f3915,f1d4ba1b-c,2,236.84,473.68,115,Cash on Delivery,5,9.72,Delivered,473.68,249.3,5.0
1116,5116,0d3b08e0,c33a593f-6,1,421.94,421.94,146,Net Banking,3,15.5,Delivered,421.94,444.15,5.0
1117,5117,f3e197f3,4aab29e2-f,1,146.61,146.61,147,UPI,1,17.39,Returned,478.53,209.44,30.0
1117,5117,03563bc9,d7510d30-2,3,110.64,331.92,41,Credit Card,4,17.39,Returned,478.53,147.52,25.0
1118,5118,86aa1cad,386ac42a-2,1,303.69,303.69,148,Cash on Delivery,5,15.97,Delivered,579.4,404.92,25.0
1118,5118,b4b2dce1,a6386230-6,1,226.19,226.19,149,Cash on Delivery,5,15.97,Delivered,579.4,323.13,30.0
1118,5118,83ca1c02,b9a0b553-3,1,49.52,49.52,150,UPI,1,15.97,Delivered,579.4,70.75,30.01
1119,5119,371ace0c,37cadfa7-8,1,193.56,193.56,133,Net Banking,3,19.84,Cancelled,193.56,258.08,25.0
1120,5120,c7978493,c45f28ae-1,3,229.67,689.01,151,Debit Card,2,9.09,Delivered,942.51,287.09,20.0
1120,5120,e7b3665a,b81a2d01-e,2,126.75,253.5,17,Net Banking,3,9.09,Delivered,942.51,140.83,10.0
1121,5121,e4259534,7c202cc0-d,1,421.63,421.63,119,Net Banking,3,18.12,Delivered,421.63,496.03,15.0
1122,5122,515fe1e7,759b4aed-d,2,136.05,272.1,67,Credit Card,4,16.5,Delivered,272.1,143.21,5.0
1123,5123,eb65d1ca,e964198d-7,2,234.13,468.26,152,Debit Card,2,10.43,Delivered,496.43,334.47,30.0
1123,5123,4c95d133,9c80171d-4,3,9.39,28.17,86,Debit Card,2,10.43,Delivered,496.43,18.79,50.03
1124,5124,97d651f2,b5f6a3f5-4,1,14.37,14.37,153,Debit Card,2,16.01,Delivered,14.37,14.37,0.0
1125,5125,0be6c0bb,86c443dc-d,3,133.94,401.82,154,UPI,1,6.56,Delivered,562.1,267.88,50.0
1125,5125,8c8f2810,6acff5a9-7,1,160.28,160.28,155,Debit Card,2,6.56,Delivered,562.1,188.56,15.0
1126,5126,7050349e,cc0167d3-4,2,221.22,442.44,10,Debit Card,2,16.84,Delivered,1397.44,245.8,10.0
1126,5126,f30003fb,5c2c5955-3,4,238.75,955.0,156,Credit Card,4,16.84,Delivered,1397.44,251.32,5.0
1127,5127,08f509e7,0e5c25e6-2,1,170.23,170.23,35,Credit Card,4,12.98,Delivered,494.22,226.97,25.0
1127,5127,1e02db52,12e1e7b7-7,1,323.99,323.99,17,UPI,1,12.98,Delivered,494.22,431.98,25.0
1128,5128,dc743e0d,73bd35e0-1,1,313.85,313.85,157,Credit Card,4,9.38,Delivered,386.4,313.85,0.0
1128,5128,9a3d7a70,0ca0aa41-4,1,72.55,72.55,86,UPI,1,9.38,Delivered,386.4,96.73,25.0
1129,5129,e2f51045,d6f32dd8-f,1,263.25,263.25,158,Debit Card,2,14.84,Delivered,263.25,376.07,30.0
1130,5130,d374b1f9,9ea32af8-e,2,80.05,160.1,143,Cash on Delivery,5,14.62,Delivered,160.1,84.26,5.0
1131,5131,5d31e0f4,568f353e-6,1,364.97,364.97,159,Net Banking,3,8.14,Cancelled,364.97,486.62,25.0
1132,5132,e95af48a,bb0b56a8-0,1,199.44,199.44,160,Cash on Delivery,5,5.46,Delivered,199.44,398.89,50.0
1133,5133,4ce70e71,bac20164-7,1,123.94,123.94,152,UPI,1,11.5,Delivered,410.17,177.05,30.0
1133,5133,4c326c0f,5a8fe0a0-4,1,286.23,286.23,161,Net Banking,3,11.5,Delivered,410.17,286.23,0.0
1134,5134,a33bd4fb,e852197d-c,1,166.11,166.11,162,Cash on Delivery,5,13.54,Returned,478.71,166.11,0.0
1134,5134,add87525,3e468113-f,2,156.3,312.6,163,UPI,1,13.54,Returned,478.71,156.3,0.0
1135,5135,45177a4d,7031b4e9-f,1,164.22,164.22,99,Cash on Delivery,5,18.15,Returned,164.22,182.47,10.0
1136,5136,095bcc91,36a204de-b,4,210.85,843.4,111,Net Banking,3,18.92,Delivered,843.4,301.21,30.0
1137,5137,de8c7e00,a2f99d43-c,1,153.38,153.38,9,Net Banking,3,12.93,Delivered,153.38,306.77,50.0
