Product_ID,Category,brand,price_band
c40efcc0-2,Clothing,Brand C,Medium
4b2386b5-4,Sports,Brand A,Medium
c4f93075-e,Sports,Brand C,High
ff781f26-c,Books,Brand D,High
1695a728-0,Home & Kitchen,Brand A,High
a700768e-1,Books,Brand B,High
004ae9eb-0,Electronics,Brand A,Medium
7f4e3932-a,Toys,Brand C,High
7438ea1f-c,Books,Brand A,High
ae8d3eae-6,Toys,Brand D,High
10f9fb68-2,Toys,Brand B,Medium
7dd40ade-e,Home & Kitchen,Brand B,High
3e65294c-d,Sports,Brand D,High
e71ea629-6,Toys,Brand C,High
003d1f09-c,Toys,Brand A,Medium
cc29b70c-9,Electronics,Brand C,High
76d6e659-f,Books,Brand C,Medium
97e677cb-6,Home & Kitchen,Brand C,High
43f85fc8-5,Clothing,Brand B,Medium
cc75f240-f,Clothing,Brand A,High
83c49cc6-0,Home & Kitchen,Brand B,Medium
916e62e8-4,Electronics,Brand B,Low
8679b68a-2,Books,Brand B,Low
4a86d1fb-3,Sports,Brand A,High
081c5408-8,Books,Brand D,Low
58fedada-b,Toys,Brand B,Medium
d8d5bbee-a,Beauty,Brand B,Medium
8da332da-a,Sports,Brand B,High
567355fa-3,Home & Kitchen,Brand A,High
397a849e-9,Home & Kitchen,Brand A,High
3cba2745-2,Clothing,Brand C,High
758e3cf5-d,Books,Brand B,Medium
39dbd736-8,Home & Kitchen,Brand B,Low
e695e227-e,Beauty,Brand A,Medium
39394899-d,Sports,Brand A,High
4f214f6b-a,Toys,Brand B,High
39c7b618-6,Toys,Brand D,Medium
eeb0635d-a,Sports,Brand C,Low
6d0321c6-b,Clothing,Brand C,High
f048a4a2-5,Sports,Brand B,High
16f47d8b-3,Books,Brand C,High
cfe90194-b,Toys,Brand C,High
d12bfdfa-c,Beauty,Brand B,High
9ffd92ed-4,Beauty,Brand C,High
a49efe9f-9,Home & Kitchen,Brand A,High
cd65d18d-a,Home & Kitchen,Brand B,Medium
a604afd7-c,Electronics,Brand A,Medium
ae12cb5e-b,Books,Brand B,Medium
e504b46b-a,Toys,Brand A,Medium
df20c732-7,Home & Kitchen,Brand C,High
499bf772-5,Books,Brand D,Medium
8168dbcc-a,Beauty,Brand A,High
d4f8bb14-c,Books,Brand A,High
1af0660f-c,Sports,Brand D,High
b121d823-9,Beauty,Brand D,High
50e481c0-5,Sports,Brand A,Medium
b06f4427-0,Electronics,Brand A,Low
30571c6b-a,Electronics,Brand A,High
fa938c93-7,Beauty,Brand B,High
7df8467d-8,Books,Brand A,High
bdd98eb8-b,Toys,Brand A,Medium
d2d8de8e-9,Electronics,Brand D,High
20c99ee6-7,Clothing,Brand D,High
610b6881-1,Electronics,Brand B,Low
0f9b23d4-b,Books,Brand B,Low
d0b8fdbd-c,Sports,Brand C,High
5ee2c43a-4,Clothing,Brand A,High
a599e26a-7,Toys,Brand A,High
fbe0711d-8,Home & Kitchen,Brand D,High
ce07178a-6,Clothing,Brand C,Medium
250519ce-c,Beauty,Brand A,High
02e20c5f-d,Home & Kitchen,Brand C,Low
2f19e634-2,Clothing,Brand B,High
9f50736e-b,Electronics,Brand A,High
2883c4ac-f,Toys,Brand A,High
52a56ac7-c,Sports,Brand B,Low
d767d45d-a,Home & Kitchen,Brand A,Medium
68867ed9-3,Books,Brand B,High
8144b8b1-3,Clothing,Brand B,Medium
f1d4ba1b-c,Electronics,Brand C,High
c33a593f-6,Books,Brand D,High
4aab29e2-f,Sports,Brand D,High
d7510d30-2,Books,Brand B,Medium
386ac42a-2,Clothing,Brand C,High
a6386230-6,Beauty,Brand B,High
b9a0b553-3,Beauty,Brand C,Medium
37cadfa7-8,Beauty,Brand C,High
c45f28ae-1,Clothing,Brand D,High
b81a2d01-e,Clothing,Brand D,Medium
7c202cc0-d,Home & Kitchen,Brand C,High
759b4aed-d,Books,Brand D,Medium
e964198d-7,Toys,Brand C,High
9c80171d-4,Home & Kitchen,Brand A,Low
b5f6a3f5-4,Clothing,Brand B,Low
86c443dc-d,Clothing,Brand D,High
6acff5a9-7,Sports,Brand B,Medium
cc0167d3-4,Sports,Brand D,High
5c2c5955-3,Electronics,Brand B,High
0e5c25e6-2,Beauty,Brand B,High
12e1e7b7-7,Sports,Brand D,High
73bd35e0-1,Clothing,Brand D,High
0ca0aa41-4,Books,Brand D,Medium
d6f32dd8-f,Electronics,Brand D,High
9ea32af8-e,Clothing,Brand C,Medium
568f353e-6,Electronics,Brand D,High
bb0b56a8-0,Electronics,Brand D,High
bac20164-7,Home & Kitchen,Brand D,Medium
5a8fe0a0-4,Sports,Brand A,High
e852197d-c,Clothing,Brand B,Medium
3e468113-f,Home & Kitchen,Brand D,Medium
7031b4e9-f,Home & Kitchen,Brand D,Medium
36a204de-b,Books,Brand B,High
a2f99d43-c,Beauty,Brand B,High
572dd8d9-2,Beauty,Brand C,Medium
20ed3090-1,Home & Kitchen,Brand B,High
b503bda4-8,Beauty,Brand B,High
a4a2fdda-e,Books,Brand A,High
bc80dadc-b,Home & Kitchen,Brand C,Medium
186cf076-b,Toys,Brand A,High
fb8256e8-a,Electronics,Brand B,Medium
df236be6-3,Toys,Brand D,High
13d2a56c-7,Sports,Brand C,High
5966ef80-9,Books,Brand B,High
74ebdb33-e,Beauty,Brand B,High
dcf51353-b,Clothing,Brand D,High
61c34d6b-7,Home & Kitchen,Brand D,High
0d96fc90-3,Sports,Brand D,High
d41b9799-8,Electronics,Brand C,Medium
e0d9a8f7-e,Electronics,Brand A,Low
85baf850-e,Toys,Brand C,High
6ede0fd1-8,Beauty,Brand D,Medium
1e180b5a-5,Clothing,Brand C,Medium
9b5e7055-7,Toys,Brand D,High
904999a9-7,Sports,Brand A,Medium
ad95ddec-0,Clothing,Brand C,High
a95d5384-7,Clothing,Brand A,High
ad73b872-2,Clothing,Brand A,High
9eeae0e2-6,Clothing,Brand D,Medium
6d05da53-3,Toys,Brand C,Medium
3bf3112c-c,Toys,Brand C,High
3254a62d-e,Toys,Brand A,High
6d1515e6-3,Beauty,Brand D,Medium
4635b113-8,Electronics,Brand A,High
22e240d4-1,Electronics,Brand A,High
6d6f9b42-8,Sports,Brand A,Medium
6b089f15-e,Sports,Brand A,High
5bfb14c4-f,Home & Kitchen,Brand C,Medium
080a1588-6,Books,Brand B,Medium
9229ec2c-a,Sports,Brand C,Medium
c3890ccb-8,Toys,Brand D,Medium
b8877827-a,Sports,Brand B,Low
948a3b40-d,Clothing,Brand A,High
2db00657-3,Clothing,Brand C,High
142c03ad-2,Beauty,Brand B,High
4c798c68-9,Beauty,Brand A,Medium
035b2887-1,Sports,Brand C,High
ac86b890-3,Home & Kitchen,Brand B,Medium
73871064-1,Clothing,Brand C,Low
a0806601-f,Sports,Brand B,High
54a76b2a-1,Clothing,Brand D,High
93235dc9-9,Toys,Brand C,High
6f3fb246-f,Beauty,Brand C,High
909a3085-c,Beauty,Brand B,Low
8a2d7d67-b,Books,Brand D,High
af9fe8b3-3,Home & Kitchen,Brand C,High
620721a3-e,Sports,Brand D,High
37800a56-3,Clothing,Brand D,Medium
f4193c4a-2,Electronics,Brand C,High
9ec84b7e-f,Electronics,Brand A,High
f2a45064-4,Clothing,Brand B,High
253f8125-b,Books,Brand C,High
d4274eed-2,Electronics,Brand D,Low
c336381e-2,Books,Brand B,High
b9f308d2-3,Toys,Brand C,Low
505d5a39-d,Toys,Brand B,Medium
b9814c5b-8,Home & Kitchen,Brand B,High
3281432b-a,Home & Kitchen,Brand D,High
eca4c411-a,Books,Brand A,Medium
9d8e1e52-1,Home & Kitchen,Brand A,Medium
58e7f616-5,Sports,Brand B,High
dbc17060-e,Books,Brand D,Medium
6ed3d2f3-3,Toys,Brand D,High
69e5ece3-0,Electronics,Brand C,High
bb0bd498-7,Electronics,Brand B,High
921d4f13-4,Books,Brand C,High
44966d58-e,Clothing,Brand D,Medium
524bb820-b,Toys,Brand B,Medium
5b91457c-3,Books,Brand A,Medium
bf0e5aab-7,Home & Kitchen,Brand A,Medium
4ede3d2b-a,Beauty,Brand C,Medium
5aca3424-d,Electronics,Brand B,High
de8507e5-f,Clothing,Brand D,High
178b783b-5,Home & Kitchen,Brand C,Low
42fdf304-9,Sports,Brand A,High
34b2c858-e,Home & Kitchen,Brand D,High
791f0dd9-1,Sports,Brand B,High
f7f82ed1-6,Electronics,Brand A,High
7b348c44-0,Toys,Brand D,Medium
35ed32b8-0,Books,Brand A,Low
b1877937-7,Sports,Brand B,Medium
a135c362-c,Clothing,Brand C,Medium
60e53d02-0,Sports,Brand D,High
632f132c-2,Electronics,Brand D,High
b2240a4c-f,Toys,Brand B,High
04284bd4-a,Sports,Brand A,Medium
c20acdec-f,Sports,Brand A,High
49ed6d0d-8,Sports,Brand A,Medium
143b0a24-6,Home & Kitchen,Brand D,Medium
3b16bf75-a,Toys,Brand D,High
033b7ee6-6,Clothing,Brand A,High
3d35c39c-5,Electronics,Brand D,High
7bfbfd94-7,Clothing,Brand C,Medium
cdeb8fed-1,Clothing,Brand B,Medium
9bf78c9a-3,Electronics,Brand B,Medium
bac7facb-1,Books,Brand D,High
4678822d-d,Clothing,Brand C,Medium
771902a5-0,Electronics,Brand C,High
ecc1678f-a,Home & Kitchen,Brand A,Medium
3d9448a2-d,Clothing,Brand B,High
f8a7b3cb-a,Clothing,Brand B,Low
d22cc472-c,Toys,Brand B,Medium
45f9b126-8,Books,Brand D,High
5e26e41d-1,Electronics,Brand C,Low
bb11a08f-4,Beauty,Brand A,High
9ce572cf-c,Books,Brand D,High
e359b315-2,Sports,Brand A,High
af4eb230-a,Toys,Brand D,Medium
cad3fdda-e,Home & Kitchen,Brand B,Low
76573101-d,Beauty,Brand A,Medium
fc077491-6,Toys,Brand C,Medium
389afb40-f,Beauty,Brand C,High
3c2c7bd1-a,Toys,Brand D,High
e4101576-c,Electronics,Brand B,Medium
bc2a8a1a-0,Beauty,Brand D,Low
c5cc3ef2-7,Sports,Brand A,High
3153fc70-c,Sports,Brand C,Medium
b848fedb-4,Beauty,Brand C,High
a90e4600-6,Toys,Brand C,High
c7378104-f,Books,Brand C,Medium
7deb0c35-a,Sports,Brand A,Medium
84c9273b-5,Electronics,Brand C,High
0b938bcf-d,Toys,Brand D,High
1dfa2788-6,Books,Brand C,High
37d88ca0-0,Toys,Brand A,Medium
56886e5d-7,Electronics,Brand B,High
ed3c487d-3,Books,Brand B,High
9f830a6f-0,Home & Kitchen,Brand C,Medium
8ab203ed-0,Books,Brand B,Medium
0816ee12-5,Books,Brand A,High
94f6ab2a-a,Books,Brand C,High
46500eae-c,Toys,Brand A,High
5420918c-0,Books,Brand B,High
09bfc749-2,Clothing,Brand B,Medium
630e08f4-d,Home & Kitchen,Brand C,High
4ce71e3b-1,Clothing,Brand B,High
be9d0033-a,Beauty,Brand C,Medium
32f52e77-3,Toys,Brand C,High
2f9f2265-e,Clothing,Brand D,High
cdb2d37a-5,Books,Brand D,High
a57d6d95-d,Toys,Brand D,High
7105de94-6,Toys,Brand A,Medium
1a41a273-7,Beauty,Brand B,High
feeeabdc-c,Toys,Brand B,Medium
4b94f455-e,Toys,Brand D,High
cf8a6a42-e,Beauty,Brand C,High
26a27ad3-4,Home & Kitchen,Brand C,High
b45ef0eb-6,Books,Brand C,High
bcf95241-9,Sports,Brand C,High
66e16cc8-6,Books,Brand A,High
cafa45f9-e,Books,Brand B,High
e9c79473-d,Sports,Brand D,High
d64ddbd5-c,Electronics,Brand A,High
d5b42863-c,Toys,Brand B,Medium
e8e89970-a,Toys,Brand A,Medium
81dfd444-c,Toys,Brand C,High
aff7f14b-0,Toys,Brand A,High
fdb8a7f4-c,Electronics,Brand A,Medium
23bbe375-4,Home & Kitchen,Brand C,High
55cd19bf-d,Toys,Brand C,Medium
c9b146c9-5,Toys,Brand D,High
47a3946a-3,Clothing,Brand D,High
e594132a-a,Beauty,Brand B,High
1432e84a-5,Beauty,Brand D,Medium
7b2b5520-9,Clothing,Brand D,High
b4f67f96-9,Electronics,Brand B,High
a21685d4-7,Books,Brand A,High
757cdf83-b,Sports,Brand A,High
9a339c33-e,Toys,Brand A,High
7bbba576-7,Toys,Brand C,High
d02581bb-6,Home & Kitchen,Brand B,Medium
0fd849b9-6,Books,Brand A,Low
ea327b14-f,Books,Brand D,Medium
6c60ac1f-5,Electronics,Brand D,High
e652729a-6,Electronics,Brand D,High
7b2f61cf-4,Books,Brand B,Medium
b36687ef-b,Toys,Brand B,Medium
ed1ae875-7,Books,Brand D,High
b371fcde-5,Toys,Brand C,High
de5e986e-7,Beauty,Brand C,Low
6ffe0b61-d,Books,Brand A,Medium
cc2a189c-2,Beauty,Brand A,Medium
72d6c5f7-5,Beauty,Brand A,High
3ee2d742-e,Clothing,Brand A,High
9faa3baf-9,Electronics,Brand A,Low
00cabebb-5,Toys,Brand B,High
f9c10c74-8,Beauty,Brand B,High
a2a1bf06-6,Electronics,Brand C,High
10c04914-7,Toys,Brand C,Medium
c0b25d1f-c,Home & Kitchen,Brand B,High
468410b1-b,Sports,Brand C,High
c0b273c2-5,Books,Brand D,High
965e5e98-c,Beauty,Brand C,Medium
5b7987b2-2,Toys,Brand D,High
a52fdf17-b,Clothing,Brand D,Medium
1524eaed-7,Home & Kitchen,Brand A,High
0dc1a84f-d,Books,Brand C,High
97a50e99-a,Electronics,Brand D,High
6bcafd23-8,Beauty,Brand C,High
dbee7a4d-d,Toys,Brand C,Medium
cd15baa4-6,Clothing,Brand B,High
35c9ea9d-e,Sports,Brand B,High
2dd1d448-8,Electronics,Brand A,Medium
6bab26fc-f,Sports,Brand C,High
7fe0ba98-f,Toys,Brand B,High
3b93ac9a-a,Beauty,Brand D,Low
a4d482bc-d,Sports,Brand D,Low
d5ffce9f-3,Home & Kitchen,Brand A,High
84844630-e,Sports,Brand D,High
454a18be-b,Books,Brand C,High
58473eef-4,Home & Kitchen,Brand D,High
12685d60-d,Home & Kitchen,Brand A,High
8f17be1c-d,Toys,Brand A,High
0c60ae4e-f,Clothing,Brand D,High
654d10d0-a,Toys,Brand C,High
320ed873-2,Beauty,Brand B,Medium
1e048fba-3,Clothing,Brand C,High
d34a223b-d,Home & Kitchen,Brand C,Medium
0708c5d4-9,Home & Kitchen,Brand C,Low
1856f48e-9,Beauty,Brand D,High
abcdf90c-4,Sports,Brand B,High
e0b93f87-1,Home & Kitchen,Brand C,Medium
0c216a89-c,Toys,Brand B,Medium
4ae6e368-7,Books,Brand A,Low
8249738d-4,Books,Brand B,Medium
d1ea2388-0,Beauty,Brand D,Medium
13733608-4,Beauty,Brand A,High
e9feb788-5,Toys,Brand A,High
19c52cc9-5,Sports,Brand C,High
6a7a755f-3,Books,Brand B,High
28f61b71-1,Home & Kitchen,Brand A,High
f965f3ef-d,Sports,Brand A,High
d3ede683-9,Home & Kitchen,Brand B,Medium
7de11438-b,Sports,Brand B,Medium
28cfa86a-5,Home & Kitchen,Brand A,Low
c69340de-d,Books,Brand A,High
a5f0b72c-e,Electronics,Brand B,High
3aa04295-7,Home & Kitchen,Brand D,High
f0767145-7,Books,Brand B,High
fc294888-f,Electronics,Brand D,High
8ef22240-7,Books,Brand A,Medium
1d053cf8-1,Beauty,Brand C,High
a59a21d3-b,Clothing,Brand B,Medium
0f93e3db-f,Electronics,Brand A,Medium
905cb450-c,Electronics,Brand A,High
7ebc97fb-b,Toys,Brand C,Medium
33d1d69e-5,Electronics,Brand B,Medium
67c6110c-d,Home & Kitchen,Brand A,High
b18c0e0f-7,Toys,Brand D,High
f48ee0b6-4,Books,Brand C,Medium
8730a0ee-7,Beauty,Brand D,Low
8783e6d7-9,Home & Kitchen,Brand B,Medium
33850590-0,Toys,Brand D,High
0d81c583-f,Home & Kitchen,Brand C,High
d7756866-3,Toys,Brand A,High
741be484-3,Beauty,Brand C,High
b169d475-5,Beauty,Brand A,High
d166d0c2-a,Clothing,Brand A,High
4ecdcc3c-d,Electronics,Brand D,High
ad3dd065-0,Toys,Brand C,Low
aa78760a-b,Electronics,Brand C,High
6f11ccc4-8,Clothing,Brand A,High
baf6af3a-2,Toys,Brand C,High
e4712712-5,Clothing,Brand B,Low
75fb7c82-7,Clothing,Brand B,Medium
61a3694b-7,Home & Kitchen,Brand D,High
347bc94b-6,Electronics,Brand D,High
631e9a74-1,Sports,Brand C,High
02dbf50b-0,Books,Brand D,High
562a51c3-c,Electronics,Brand C,High
58a12720-9,Books,Brand D,High
3d832b43-e,Beauty,Brand B,Medium
1213d45d-3,Clothing,Brand A,High
3f9836de-1,Sports,Brand A,Medium
6d626cf9-1,Electronics,Brand B,Low
3c8d5057-5,Toys,Brand A,Medium
6917952b-a,Beauty,Brand C,Low
87ff490c-e,Clothing,Brand C,High
101ade60-3,Sports,Brand B,High
6eac3727-8,Electronics,Brand B,Medium
ab4b088f-1,Toys,Brand B,Medium
974faa53-8,Books,Brand B,High
f330657b-d,Home & Kitchen,Brand A,Medium
6f64c12e-e,Sports,Brand A,High
33036bf9-b,Electronics,Brand A,Medium
7443ec94-2,Sports,Brand C,Medium
380bf7e8-2,Books,Brand D,Medium
dce9a48e-f,Clothing,Brand C,High
7cb9f116-e,Clothing,Brand D,High
1d45530e-f,Books,Brand B,High
affa909a-d,Books,Brand B,Medium
5e246611-e,Clothing,Brand A,High
f0fdca6b-4,Sports,Brand A,High
1dc049c6-4,Home & Kitchen,Brand D,Medium
860e5dd3-0,Books,Brand D,High
f0dc391c-b,Home & Kitchen,Brand A,High
a4d41da0-b,Sports,Brand B,Low
16ee2335-1,Home & Kitchen,Brand A,High
4b585842-7,Toys,Brand B,High
7226de32-a,Home & Kitchen,Brand B,Low
58aa2a00-6,Books,Brand C,High
aacdd2c4-c,Beauty,Brand C,High
2e17ee27-f,Toys,Brand D,High
5c4eb084-f,Toys,Brand B,High
07c8c702-1,Home & Kitchen,Brand A,High
14272c92-f,Clothing,Brand B,Medium
1115a4cc-1,Sports,Brand D,High
26b7a7e9-d,Sports,Brand B,High
006cd2ab-5,Sports,Brand B,High
b3525981-b,Sports,Brand D,Medium
e3135ee0-b,Beauty,Brand B,High
b6bfe4cb-f,Toys,Brand C,Medium
e88dc97f-5,Clothing,Brand D,High
6ab73ad3-c,Beauty,Brand C,High
17ed3053-e,Sports,Brand D,High
ab459f59-9,Toys,Brand B,Low
df52cac6-d,Electronics,Brand C,High
4b6f292d-e,Books,Brand C,High
f9a4c648-b,Sports,Brand A,Medium
e0f744c7-3,Sports,Brand C,High
7184cb78-f,Beauty,Brand C,High
828e8cf5-8,Electronics,Brand B,High
aaab8a7f-a,Books,Brand C,Medium
598596a4-7,Clothing,Brand C,High
1251f351-5,Beauty,Brand C,Medium
ab613eea-c,Sports,Brand B,High
9c83496b-c,Toys,Brand D,High
7e13033b-9,Sports,Brand B,Low
fa9eac42-d,Toys,Brand C,High
2b2b723a-0,Home & Kitchen,Brand D,High
51f72692-9,Home & Kitchen,Brand B,High
9412f332-b,Toys,Brand B,High
84d390d3-6,Clothing,Brand D,High
4c5d05af-4,Clothing,Brand A,Medium
47489c4d-c,Sports,Brand C,High
4750a3de-4,Clothing,Brand A,High
889d5066-d,Toys,Brand C,High
8029a89d-b,Clothing,Brand C,High
117417c1-9,Beauty,Brand A,Medium
e4c206e9-f,Sports,Brand A,Medium
776fa794-3,Electronics,Brand C,Medium
30c6766f-3,Beauty,Brand D,High
f79b493a-a,Sports,Brand D,High
74814259-a,Electronics,Brand A,Medium
1482500a-e,Clothing,Brand A,High
8d5bccd1-3,Toys,Brand B,Medium
f367ee26-d,Books,Brand D,Medium
cb7f85a2-c,Sports,Brand D,High
583179d7-5,Electronics,Brand C,High
d565ad1e-7,Toys,Brand B,High
c39a4f16-6,Home & Kitchen,Brand C,High
0fc0a3c3-d,Beauty,Brand B,Medium
c5a7acf5-b,Sports,Brand D,Medium
df7cd075-2,Toys,Brand C,Medium
eb0596ff-1,Sports,Brand B,Low
17546bcb-2,Books,Brand C,High
c968f734-c,Electronics,Brand B,High
92ff2301-c,Clothing,Brand A,High
8eee2c96-a,Sports,Brand C,Low
cde121ac-d,Beauty,Brand A,High
dbdf1bd9-4,Books,Brand B,High
bf258db9-2,Home & Kitchen,Brand C,Low
af7bd15a-8,Clothing,Brand B,Medium
72ce314e-c,Electronics,Brand B,Medium
c9730c6b-8,Clothing,Brand A,High
41232e6b-0,Sports,Brand C,High
0d17cc68-f,Books,Brand D,High
6f35afb4-0,Sports,Brand B,High
a55367ed-0,Beauty,Brand A,High
647df5b4-8,Clothing,Brand D,High
2e3d2cff-e,Sports,Brand A,Medium
6e5a726a-a,Sports,Brand A,High
6b55c0d4-0,Books,Brand A,High
747def18-0,Toys,Brand B,High
dab77002-a,Sports,Brand D,High
965ef4ce-4,Toys,Brand B,High
a2f4cd32-3,Books,Brand B,High
1df471c0-6,Electronics,Brand C,Medium
79dc5c00-8,Books,Brand D,Medium
8a124bf1-f,Toys,Brand C,High
13ac4c2d-9,Beauty,Brand A,Medium
9cc7d475-d,Electronics,Brand D,Medium
df56e5a2-3,Electronics,Brand D,High
4ff5749c-e,Sports,Brand B,Medium
c8304287-0,Sports,Brand A,High
a3bb0ee7-6,Sports,Brand B,High
b7c4ad12-d,Home & Kitchen,Brand C,High
65a4da6f-6,Beauty,Brand A,High
af65c4a5-5,Toys,Brand B,High
b69f2c67-5,Sports,Brand B,High
ef1c4943-2,Clothing,Brand B,Medium
5dc3861b-a,Home & Kitchen,Brand A,High
6bf29c21-b,Sports,Brand C,High
78fc8fe3-6,Toys,Brand D,Medium
e01a29bc-7,Beauty,Brand B,Medium
f1aa4880-3,Beauty,Brand A,High
baa2239a-2,Toys,Brand D,High
2752a4e7-d,Sports,Brand B,High
a1f2b6dd-7,Sports,Brand A,Medium
4ad3c592-c,Home & Kitchen,Brand C,High
272d1c1e-d,Toys,Brand B,High
e5937e20-5,Books,Brand A,High
b8455d97-7,Sports,Brand B,High
4ba7e11d-7,Home & Kitchen,Brand A,High
20d69811-6,Electronics,Brand C,High
99312242-3,Beauty,Brand C,Medium
5d9e94f3-1,Toys,Brand A,High
c201b757-7,Beauty,Brand D,High
8e910cce-9,Home & Kitchen,Brand C,High
68365458-0,Sports,Brand B,Medium
075c7e1a-a,Sports,Brand C,Low
42d95dd7-9,Beauty,Brand B,Medium
203a42f4-5,Home & Kitchen,Brand C,Medium
cbfe0b39-9,Clothing,Brand C,High
8fb4616e-1,Books,Brand B,High
134467bd-1,Sports,Brand C,High
c893a571-b,Home & Kitchen,Brand B,High
210a2d36-7,Electronics,Brand B,Medium
e6ddc669-c,Toys,Brand C,Medium
ca8f2b35-8,Toys,Brand C,High
e570765e-b,Electronics,Brand B,Medium
0b1da022-c,Beauty,Brand A,Medium
c2819460-a,Sports,Brand C,High
6518b3f5-9,Clothing,Brand D,High
50996230-2,Books,Brand C,High
291f5620-7,Electronics,Brand A,Medium
6a51da27-0,Beauty,Brand A,High
27c69f35-a,Clothing,Brand C,High
6eaed388-2,Clothing,Brand C,High
e2a6302f-9,Books,Brand D,High
1e2d8f24-1,Books,Brand C,Medium
043c6198-3,Toys,Brand A,High
966d092f-4,Clothing,Brand D,Low
6aedd577-8,Beauty,Brand C,High
cda05d56-5,Books,Brand D,Medium
3db407ae-2,Electronics,Brand D,High
